Channel,Duration(Hours),Language
https://www.youtube.com/@RanveerAllahbadia/videos,375.70,Hindi
https://www.youtube.com/@MrVivekBindra/videos,214.17,Hindi
https://www.youtube.com/@tseriesoldisgold/videos,396.24,Hindi
https://www.youtube.com/@dhruvrathee/videos,160.29,Hindi
https://www.youtube.com/@GIGLIndia/videos,95.05,Hindi
https://www.youtube.com/@SandeepSeminars/videos,200.93,Hindi
https://www.youtube.com/@warikoo/videos,211.19,Hindi
https://www.youtube.com/@UnacademyJEE/videos,681.76,Hindi 
https://www.youtube.com/@KabitasKitchen/videos,174.26,Hindi
https://www.youtube.com/@TechnicalGuruji/videos,758.23,Hindi
https://www.youtube.com/@1mgofficial/videos,87.15,Hindi
https://www.youtube.com/@A2Motivation/videos,71.97,Hindi
https://www.youtube.com/@TEDEd/videos,239.02,English
https://www.youtube.com/@NotJustBikes/videos,20.08,English
https://www.youtube.com/@iit/videos,17874.61,English and Hindi
